note;commentaire;date;site;scrap_date
5;lave linge d'excellente qualité délais personnes venus repris l'ancien sans aucune difficultés place nouvelle machine branché l'arrivée d'eau gée j'ai trouvé service très précieux toujours peur quand commande internet d'avoir service minimum n'est cas chez ubaldimerci encore ;2024-02-01 11:29:29;cdiscount.com;2024-02-01 21:07:43
5;ère expérience qualitative ubaldi site simple utiliser filtres efficaces acheter frigidaire produits prix marché plut vers bas plusieurs sms envoyés dire commande prise compte indiquer livreur horaires prévenir controler produits livrés livraison très pro vendeur recommander ;2024-02-01 16:07:30;cdiscount.com;2024-02-01 21:07:43
5;livreurs très sérieux date heure prévue respectées service après vente fantastique très patient efficace personnes contacté petit détail négatif appel numéro masqué non vraiment satisfaite ;2024-02-01 15:20:01;cdiscount.com;2024-02-01 21:07:43
5;expérience plus satisfaisante sèche linge initialement choisi finalement plus disponible lors validation commande ubaldi alors proposé modèle supérieur prix livraison heures prestataire exemplaire plus respecter horaires créneau choisi politesse gentillesse franchement rare recommande yeux fermés site fiabilité efficacité ;2024-02-01 11:32:55;cdiscount.com;2024-02-01 21:07:43
4;j'ai commandé machine laver comme prévu reprise ancienne machine devait tre reprise transporteur celui m'a dit véhicule plein donc reparti m'a laisser l'ancienne machine bras pourriez m'indiquer suite procédure cordialement ;2024-02-01 15:11:38;cdiscount.com;2024-02-01 21:07:43
5;produit acheté prix très intéressant livraison très rapide retardée chronopost m'envoie message dire livraison telle heure bloque tout samedi vient sans prévenir livraison faite après finalement ;2024-02-01 09:27:31;cdiscount.com;2024-02-01 21:07:43
5;télévision oled philips ambilight moins cher chez ubaldi plus livré pièce qu'on souhaite dommage n'est installé aussi comme chez boulanger ;2024-02-01 11:30:57;cdiscount.com;2024-02-01 21:07:43
5;commande ubaldi depuis plus ans jamais problème livraisons rapides délais respectés prix compétitifs occasion rendre magasin personnel formidable accueil renseignement ;2024-02-01 12:23:59;cdiscount.com;2024-02-01 21:07:43
5;matelas commandé aujourd hui comme demandé lors commande très bon suivi colis puisque sms transporteur chaque étape clé service livraison excellent notifiée créneau prévu hier matin nouvel sms indiquait heure précise livreurs ponctuels effectué demandé professionnalisme première expérience site web transporteur pleinement satisfaite produit correspond attentes bonne facture fabriqué marque grande renommée très confortable tout prix très raisonnable livraison offerte recommande sans hésiter ;2024-01-31 14:47:32;cdiscount.com;2024-02-01 21:07:43
4;site conseillé amis regrette choix achat site livraison effectuée soins livreurs pris temps déballer colis laisser valider commande conforme seul soucis trouve cela dommage moment commande plusieurs dates proposées point positifs validées sauf veille livraison sms transporteur informant devais valider nouvelle date car livraison impossible jour bien entendu fallu attendre semaine suit fallu réorganiser rendre disponible dommage ;2024-02-01 16:44:24;cdiscount.com;2024-02-01 21:07:43
4;magnifiques prestations sonores cette baffe marque reconnue effets lumières amènent plus plut sympa quelques soucis prestataire livraison viens viens plus reviens reviens plus bon très satisfaits produit c'est bien plus important ubaldi comme souvent offert tarif plut compétitif ;2024-02-01 12:48:29;cdiscount.com;2024-02-01 21:07:43
1;livraison aujourd'hui d'un lave vaisselle chez maman gée personnes venues n'ont capables d'installer l'appareil sous prétexte tuyaux vieux repartis disant coupez l'eau appelez plombier c'est inadmissible laisser personne gée comme extr mement mécontente peut tre qu'il judicieux d'envoyer personnes compétentes faire installations ;2024-02-01 15:23:57;cdiscount.com;2024-02-01 21:07:43
3;vraiment très bien concernant articles prix ubaldi devrait tre plus vigilant choix transporteurs notamment chronopost service déplorable article m'a livré jours apres exepdition suite nombreux contacts téléphone prétextes non livraison domicile finalement j'ai aller chercher point relais ;2024-02-01 13:04:20;cdiscount.com;2024-02-01 21:07:43
1;bonjour livraison rapide cependant colis livreur n'a fait tour vérifier semaine traiter dossier puis semaine retirer colis semaine avertir mail qu'ils effectuent remboursement alors qu'on demandé réexpédition televendeur irrespectueux raccroche nez point positif remboursement rapide comme quelqu'un l'a déj dit quand y'a problème tout quand y'a souci c'est cata mauvaise expérience ;2024-02-01 19:48:30;cdiscount.com;2024-02-01 21:07:43
5;commande d'une crepiere billig dimanche soir mardi moins aussi rapide qu'amazon prime livraison gratuite prix moins cher marché ;2024-02-01 10:49:57;cdiscount.com;2024-02-01 21:07:43
5;très satisfaite livraison livreur très sympa compétent c'est première fois j'utilise marque indesit enchantée lave linge j'ai acheté merci livreur ubaldi ;2024-01-31 11:29:54;cdiscount.com;2024-02-01 21:07:43
5;site facile complet très contente frigo beau silencieux livré personnes pièce choix délais bon état emballages remporté transporteur règlement fois paypal facilite règlement recommande ubaldi ;2024-01-31 15:14:53;cdiscount.com;2024-02-01 21:07:43
5;article stock bon prix livraison rapide soignée livreur déballé téléviseur testé bon fonctionnement avant partir ;2024-02-01 11:30:15;cdiscount.com;2024-02-01 21:07:43
5;expérience très positive ubaldi menton j'ai acheté micro ondes dietrich excellent livraison efficace cependant problème l'installation correcte car l'espace rangement existant cuisine trop grand laissant espace vide haut ubaldi depuis réglé problème sans faute extr mement satisfait l'assistance j'ai responsable magasin ubaldi menton temps qu'il consacré régler problème communication poser venu réinstaller correctement micro ondes très efficace aussi patient minutieux merci menton d'avoir encore fois fait bon travail continuerai certainement utiliser magasin l'avenir ;2024-01-31 13:41:18;cdiscount.com;2024-02-01 21:07:43
5;site ubaldi facile utiliser recherches conformes attentes délai livraison tel qu'annoncé bien visiblement pressé livreur esquivé l'ouverture colis avant acceptation ;2024-02-01 11:32:36;cdiscount.com;2024-02-01 21:07:43
3;canapé conforme part traces feutre assise sans grande conséquence puisque dissimulées montage dossier regrette également non reprise pourtant signalée lors commande contre dates livraison n'ont respectées notification livraison livraison jour puis livraison retardée début d'après midi m'a l'embarras niveau travail certes habitatetjardin répond tout s'excusant aucune proposition geste part s'e moindre choses ;2024-01-30 08:36:49;cdiscount.com;2024-02-01 21:07:43
3;habitat jardin satisfait globalement sauf détail important erreurs imprécisions matériaux contacté conna tre matières leurs résistances répondu structure aluminium plastique type polypropylène partie faux car acier rouille structure commence déj rouiller rail toit exemple peinture rayée rouille pense autres zones cas inadmissible vanter qualités résistance intempéries fiche technique notez matière résine erroné imprécis non technique trompeur devriez corriger cordialement ;2024-01-28 17:12:48;cdiscount.com;2024-02-01 21:07:43
2;parce moment paiement carte passait recommencer fois transaction donc compte bancaire prélevé fois premieres commandes ete annulées sans problème jours suivi attends toujours remboursements commande finalement validée reprenait reduction frais port commande portant articles soldes reduction bienvenue n'a tre appliquée neanmoins livraison ate tres rapide bien avant remboursements attendus ;2024-01-24 23:23:51;cdiscount.com;2024-02-01 21:07:43
1;bonjour n'ai jamais livré fallu j'aille chez transporteur récupérer colis après semaine réclamations sans aucun retour part habitat jardin raison manque colis impossible joindre habitat jardin téléphone mail service client inacceptable maintenant pense colis manquant remboursé joindre fuyez site impérativement seule qualité prendre paiements ;2024-01-20 10:09:15;cdiscount.com;2024-02-01 21:07:43
3;après avoir passé commande lots chaises mauvaise surprise evoir qu'un seul lot deux chaises commande validé livré toujours l'attente d'une réponse sav quatres chaises espérant problème règle rapidement sans recours ;2024-01-22 09:30:10;cdiscount.com;2024-02-01 21:07:43
1;aucune nouvelle depuis passé commande mail confirmation envoi attend commande cela inquiète recevoir demande retour suite achat encore cordialement ;2024-01-21 22:10:26;cdiscount.com;2024-02-01 21:07:43
